iso3,wfp_id,adm0_name,type,hazard,child_population_exposed,child_population_total,population_total
AIA,9,Anguilla,Non-Self Governing Territory,sand_dust_storm_unccd_2024,0.298693229816854,3106.464994104746,13057.273100848292
PYF,87,French Polynesia,Non-Self Governing Territory,sand_dust_storm_unccd_2024,755.114546967254,65454.8910177339,234407.3198617399
ESH,268,Western Sahara,Non-Self Governing Territory,sand_dust_storm_unccd_2024,139207.45487729053,148933.58273003798,547529.5392068358
PYF,55,Clipperton Island,Non-Self Governing Territory,sand_dust_storm_unccd_2024,0.0,0.0,0.0
NCL,178,New Caledonia,Non-Self Governing Territory,sand_dust_storm_unccd_2024,41.91500798828315,73125.83032914081,272498.4623400809
VGB,39,British Virgin Islands,Non-Self Governing Territory,sand_dust_storm_unccd_2024,0.3901389992120219,7294.56940375098,34045.826291828496
SHN,207,Saint Helena (Ascencion),Non-Self Governing Territory,sand_dust_storm_unccd_2024,0.0,0.0,0.0
SHN,1017,Saint Helena (Gough),Non-Self Governing Territory,sand_dust_storm_unccd_2024,0.0,0.0,0.0
MSR,168,Montserrat,Non-Self Governing Territory,sand_dust_storm_unccd_2024,0.7663469985127449,883.7597784317412,4038.168140880157
PCN,197,Pitcairn,Non-Self Governing Territory,sand_dust_storm_unccd_2024,0.0,5.132757997140288,20.203067046403888
GIB,95,Gibraltar,Non-Self Governing Territory,sand_dust_storm_unccd_2024,520.5094418327016,6320.593065336757,28954.623374146107
CYM,48,Cayman Islands,Non-Self Governing Territory,sand_dust_storm_unccd_2024,0.0,14220.717444956224,66588.78149171684
BMU,30,Bermuda,Non-Self Governing Territory,sand_dust_storm_unccd_2024,268.5364151291987,10745.399002020346,54726.6027973848
TKL,244,Tokelau,Non-Self Governing Territory,sand_dust_storm_unccd_2024,0.0,786.5965596395358,2452.9999413534915
SHN,1018,Saint Helena,Non-Self Governing Territory,sand_dust_storm_unccd_2024,239.18491447088857,854.4944866217029,5198.317781580893
SHN,1019,Saint Helena (Tristan da Cunha),Non-Self Governing Territory,sand_dust_storm_unccd_2024,0.0,0.0,0.0
GUM,101,Guam (USA),Non-Self Governing Territory,sand_dust_storm_unccd_2024,0.0,50804.77101110474,161522.7064935755
VIR,258,United States Virgin Islands (USA),Non-Self Governing Territory,sand_dust_storm_unccd_2024,1.08013829001609,17105.441263407654,79559.64986307031
ASM,5,American Samoa (USA),Non-Self Governing Territory,sand_dust_storm_unccd_2024,0.0,15604.131459760096,41709.54367714071
TCA,251,Turks and Caicos Islands,Non-Self Governing Territory,sand_dust_storm_unccd_2024,305.1181028716522,9003.723994958682,41468.36427160668
EGY,283,Bi'r Tawīl,Sovereignty unsettled,sand_dust_storm_unccd_2024,250.06046407669783,250.06046407669783,319.10018343581555
xAP,15,Arunachal Pradesh,Sovereignty unsettled,sand_dust_storm_unccd_2024,1135.948055362073,316063.29548516835,978806.0591716912
xRI,136,Kuril Islands,Sovereignty unsettled,sand_dust_storm_unccd_2024,0.0,3437.7847435544504,15357.129547545395
xSK,218,Senkaku Islands,Sovereignty unsettled,sand_dust_storm_unccd_2024,0.0,0.0,0.0
SDN,282,Hala'ib Triangle,Sovereignty unsettled,sand_dust_storm_unccd_2024,4462.492779688881,4875.063372722408,12153.392899734525
SSD,286,Ilemi Triangle,Sovereignty unsettled,sand_dust_storm_unccd_2024,2303.2339202176154,2455.25929632516,4821.242805503465
GRL,98,Greenland,Self Governing Territory,sand_dust_storm_unccd_2024,0.0,6477.861334156774,27103.54577633926
xSR,216,Scarborough Reef,Sovereignty unsettled,sand_dust_storm_unccd_2024,0.0,0.0,0.0
xJK,285,Jammu and Kashmir,Sovereignty unsettled,sand_dust_storm_unccd_2024,94232.24498376324,4724934.213641164,14458628.61989611
xJL,1014,Sovereignty unsettled,Sovereignty unsettled,sand_dust_storm_unccd_2024,55.78966284885127,42591.47826048329,120635.86192252446
