iso3,iso3_wfp,wfp_id,adm0_name,type,hazard,child_population_exposed,child_population_total,population_total
GIB,GIB,95,Gibraltar,Non-Self Governing Territory,vectorborne_malariapf_2012-2022,0.0,6320.962111463034,28982.67595916449
SMR,SMR,213,San Marino,State,vectorborne_malariapf_2012-2022,0.0,5133.700184291561,32591.888848521667
MCO,MCO,166,Monaco,State,vectorborne_malariapf_2012-2022,0.0,5150.670216133552,24611.520356541056
VAT,VAT,110,Holy See,State,vectorborne_malariapf_2012-2022,0.0,16.458007565666644,572.078255211391
xHT,SDN,282,Hala'ib Triangle,Sovereignty unsettled,vectorborne_malariapf_2012-2022,0.0,4875.063372722408,12153.392899734525
xMS,EGY,283,Bi'r Tawīl,Sovereignty unsettled,vectorborne_malariapf_2012-2022,0.0,250.06046407669783,319.10018343581555
xIT,SSD,286,Ilemi Triangle,Sovereignty unsettled,vectorborne_malariapf_2012-2022,2443.899483219845,2455.25929632516,4821.242805503465
xAB,xAB,102,Abyei,Sovereignty unsettled,vectorborne_malariapf_2012-2022,81783.03039833542,81783.03039833542,139480.9492159389
xJL,xJL,1014,Sovereignty unsettled,Sovereignty unsettled,vectorborne_malariapf_2012-2022,0.0,41766.09429358614,117416.10100114328
ESH,ESH,268,Western Sahara,Non-Self Governing Territory,vectorborne_malariapf_2012-2022,0.0,148933.84580948256,547515.8079370301
SHN,SHN,1017,Saint Helena (Gough),Non-Self Governing Territory,vectorborne_malariapf_2012-2022,0.0,856.1189364393309,5167.243286182641
MUS,MUS,160,Mauritius,State,vectorborne_malariapf_2012-2022,0.0,241215.5813811656,1248307.5201992372
AND,AND,7,Andorra,State,vectorborne_malariapf_2012-2022,0.0,12314.434242769294,81429.70188960501
ISR,ISR,121,Israel,State,vectorborne_malariapf_2012-2022,0.0,2525235.7499986435,9088809.509758445
CYP,CYP,64,Cyprus,State,vectorborne_malariapf_2012-2022,0.0,253501.06070479413,1306577.675221098
MLT,MLT,156,Malta,State,vectorborne_malariapf_2012-2022,0.0,83308.58843387786,508059.7765252353
SYC,SYC,220,Seychelles,State,vectorborne_malariapf_2012-2022,0.0,29720.00320191509,107680.01814509738
FRA,FRA,85,France,State,vectorborne_malariapf_2012-2022,0.0,13310065.177021116,65665394.952451326
TLS,TLS,242,Timor-Leste,State,vectorborne_malariapf_2012-2022,9681.381711219285,565995.9888864048,1365395.355152788
KEN,KEN,133,Kenya,State,vectorborne_malariapf_2012-2022,20552677.63378164,24695923.160650704,55697883.19923063
